,ADDRESSES,ADDRESS,POBOX,SUITE,ATTN,BEST FIT
3231,3980 NEW COVINGTON PIKE SUITE,3980 NEW COVINGTON PIKE,,,,"[[0, 4, 4, ['ADDRESS'], '3980 new covington pike']]"
3232,3991 WHITE CLOVER COURT OFC 1A,3991 WHITE CLOVER COURT,,1A,,"[[0, 4, 4, ['ADDRESS'], '3991 white clover court'], [5, 6, 1, ['SUITE'], '1a']]"
3233,3999 DUTCHMANS LN STE 2G SUBURBAN MEDICAL PLAZA 1,3999 DUTCHMANS LN,,STE 2G,,"[[0, 3, 3, ['ADDRESS'], '3999 dutchmans ln'], [3, 5, 2, ['SUITE'], 'ste 2g']]"
3234,3RD & CROMWELL STREETS,XX,XX,XX,XX,[]
3235,3RD AND STATION AVENUES,XX,XX,XX,XX,[]
3236,3S701 WEST AVENUE SUITE 150,,,SUITE 150,,"[[1, 2, 1, ['_DIR_'], 'west'], [3, 5, 2, ['SUITE'], 'suite 150']]"
3237,4 ALLEGHENY CENTER FIFTH FLOOR,4 ALLEGHENY CENTER FIFTH,,,,"[[0, 4, 4, ['ADDRESS'], '4 allegheny center fifth']]"
3238,4 BERRY STREET - EMBARCADERO,4 BERRY STREET,,,,"[[0, 3, 3, ['ADDRESS'], '4 berry street']]"
3239,4 BIRNIE AVENUE PO BOX 70038,4 BIRNIE AVENUE,PO BOX 70038,,,"[[0, 3, 3, ['ADDRESS'], '4 birnie avenue'], [3, 6, 3, ['POBOX'], 'po box 70038']]"
3240,4 C NORTH AVENUE SUITE 400,,,SUITE 400,,"[[2, 3, 1, ['_DIR_'], 'north'], [4, 6, 2, ['SUITE'], 'suite 400']]"
3241,4 EAST ALDER PO BOX 1318,4 EAST ALDER,PO BOX 1318,,,"[[0, 3, 3, ['ADDRESS'], '4 east alder'], [3, 6, 3, ['POBOX'], 'po box 1318']]"
3242,4 GREENTREE CENTRE 601 ROUTE 73 NORTH SUITE #302,601 ROUTE 73 NORTH,,#302,,"[[3, 7, 4, ['ADDRESS'], '601 route 73 north'], [8, 9, 1, ['SUITE'], '#302']]"
3243,4 N 780 RANDALL ROAD,780 RANDALL ROAD,,4 N,,"[[0, 2, 2, ['SUITE'], '4 n'], [2, 5, 3, ['ADDRESS'], '780 randall road']]"
3244,4 NORTH PARK DRIVE SUITE 104,4 NORTH PARK DRIVE,,SUITE 104,,"[[0, 4, 4, ['ADDRESS'], '4 north park drive'], [4, 6, 2, ['SUITE'], 'suite 104']]"
3245,4 NORTH PARK DRIVE SUITE 201,4 NORTH PARK DRIVE,,SUITE 201,,"[[0, 4, 4, ['ADDRESS'], '4 north park drive'], [4, 6, 2, ['SUITE'], 'suite 201']]"
3246,4 RAILROAD AVENUE PO BOX 113,4 RAILROAD AVENUE,PO BOX 113,,,"[[0, 3, 3, ['ADDRESS'], '4 railroad avenue'], [3, 6, 3, ['POBOX'], 'po box 113']]"
3247,4 SMITHFIELD STREET SIXTH FLOOR,4 SMITHFIELD STREET SIXTH,,,,"[[0, 4, 4, ['ADDRESS'], '4 smithfield street sixth']]"
3248,4 SOUTH MARKET BUILING 3RD FL FANEUIL HALL MARKET PLACE,4 SOUTH MARKET BUILING,,FL FANEUIL,,"[[0, 4, 4, ['ADDRESS'], '4 south market builing'], [5, 7, 2, ['SUITE'], 'fl faneuil']]"
3249,40 GARDEN STREET PO BOX 112,40 GARDEN STREET,PO BOX 112,,,"[[0, 3, 3, ['ADDRESS'], '40 garden street'], [3, 6, 3, ['POBOX'], 'po box 112']]"
3250,40 N SAINT PAULS CHURCH RD,,,40 N,,"[[0, 2, 2, ['SUITE'], '40 n']]"
3251,40 NAGOG PARK #105,40 NAGOG PARK,,#105,,"[[0, 3, 3, ['ADDRESS'], '40 nagog park'], [3, 4, 1, ['SUITE'], '#105']]"
3252,40 NORTH SANDUSKY STE 203 PO BOX 319,40 NORTH SANDUSKY,PO BOX 319,STE 203,,"[[0, 3, 3, ['ADDRESS'], '40 north sandusky'], [3, 5, 2, ['SUITE'], 'ste 203'], [5, 8, 3, ['POBOX'], 'po box 319']]"
3253,40 SOUTH RIVER ROAD #66,40 SOUTH RIVER ROAD,,#66,,"[[0, 4, 4, ['ADDRESS'], '40 south river road'], [4, 5, 1, ['SUITE'], '#66']]"
3254,40 SW 12ST SUITE B-201/202,40 SW 12ST,,,,"[[0, 3, 3, ['ADDRESS'], '40 sw 12st']]"
3255,40 WILLOW STREET PO BOX 188,40 WILLOW STREET,PO BOX 188,,,"[[0, 3, 3, ['ADDRESS'], '40 willow street'], [3, 6, 3, ['POBOX'], 'po box 188']]"
3256,400 7TH STREET NW SUITE 304,400 7TH STREET NW,,SUITE 304,,"[[0, 4, 4, ['ADDRESS'], '400 7th street nw'], [4, 6, 2, ['SUITE'], 'suite 304']]"
3257,400 BOULEVARD,,,400,,"[[0, 1, 1, ['SUITE'], '400']]"
3258,400 BUILDING 435 DEVON PARK D,435 DEVON PARK,,D,,"[[2, 5, 3, ['ADDRESS'], '435 devon park'], [5, 6, 1, ['SUITE'], 'd']]"
3259,400 CAPITOL MALL ELEVENTH FLOOR,400 CAPITOL MALL ELEVENTH,,,,"[[0, 4, 4, ['ADDRESS'], '400 capitol mall eleventh']]"
3260,400 EAST MAIN STREET H/R ASB 429D,400 EAST MAIN STREET,,429D,,"[[0, 4, 4, ['ADDRESS'], '400 east main street'], [6, 7, 1, ['SUITE'], '429d']]"
3261,400 GALLERIA PARKWAY SE SUITE 1200,400 GALLERIA PARKWAY,,SUITE 1200,,"[[0, 3, 3, ['ADDRESS'], '400 galleria parkway'], [3, 4, 1, ['_DIR_'], 'se'], [4, 6, 2, ['SUITE'], 'suite 1200']]"
3262,400 GALLERIA PARKWAY SE SUITE 400,400 GALLERIA PARKWAY,,SUITE 400,,"[[0, 3, 3, ['ADDRESS'], '400 galleria parkway'], [3, 4, 1, ['_DIR_'], 'se'], [4, 6, 2, ['SUITE'], 'suite 400']]"
3263,400 INTERSTATE NORTH PARKWAY SUITE 700,,,SUITE 700,,"[[2, 3, 1, ['_DIR_'], 'north'], [4, 6, 2, ['SUITE'], 'suite 700']]"
3264,400 MARYLAND DRIVE PO BOX 7544,400 MARYLAND DRIVE,PO BOX 7544,,,"[[0, 3, 3, ['ADDRESS'], '400 maryland drive'], [3, 6, 3, ['POBOX'], 'po box 7544']]"
3265,400 N MAIN STREET P O BOX 245,400 N MAIN STREET,P O BOX 245,,,"[[0, 4, 4, ['ADDRESS'], '400 n main street'], [4, 8, 4, ['POBOX'], 'p o box 245']]"
3266,400 NORTH CAPITAL STREET NW SUITE 765,400 NORTH CAPITAL STREET,,SUITE 765,,"[[0, 4, 4, ['ADDRESS'], '400 north capital street'], [4, 5, 1, ['_DIR_'], 'nw'], [5, 7, 2, ['SUITE'], 'suite 765']]"
3267,400 NORTH CAPITOL STREET NW SUITE 799,400 NORTH CAPITOL STREET,,SUITE 799,,"[[0, 4, 4, ['ADDRESS'], '400 north capitol street'], [4, 5, 1, ['_DIR_'], 'nw'], [5, 7, 2, ['SUITE'], 'suite 799']]"
3268,400 NORTH LOOP 1604 EAST SUITE 110,400 NORTH LOOP 1604,,SUITE 110,,"[[0, 4, 4, ['ADDRESS'], '400 north loop 1604'], [4, 5, 1, ['_DIR_'], 'east'], [5, 7, 2, ['SUITE'], 'suite 110']]"
3269,400 NORTH LOOP 1604 EAST SUITE 200,400 NORTH LOOP 1604,,SUITE 200,,"[[0, 4, 4, ['ADDRESS'], '400 north loop 1604'], [4, 5, 1, ['_DIR_'], 'east'], [5, 7, 2, ['SUITE'], 'suite 200']]"
3270,400 NORTH OLD ST LOUIS ROAD,400 NORTH OLD ST,,,,"[[0, 4, 4, ['ADDRESS'], '400 north old st']]"
3271,400 NORTH PARK AVENUE,400 NORTH PARK AVENUE,,,,"[[0, 4, 4, ['ADDRESS'], '400 north park avenue']]"
3272,400 NORTH POINT STREET,400 NORTH POINT STREET,,,,"[[0, 4, 4, ['ADDRESS'], '400 north point street']]"
3273,400 NORTHCREEK SUITE 100 3715 NORTHSIDE PARKWAY,100 3715 NORTHSIDE PARKWAY,,400,,"[[0, 1, 1, ['SUITE'], '400'], [3, 7, 4, ['ADDRESS'], '100 3715 northside parkway']]"
3274,400 Q STREET SUITE 1704,400 Q STREET,,SUITE 1704,,"[[0, 3, 3, ['ADDRESS'], '400 q street'], [3, 5, 2, ['SUITE'], 'suite 1704']]"
3275,400 ROUSER ROAD AIRPORT OFFICE PARK,400 ROUSER ROAD AIRPORT,,,,"[[0, 4, 4, ['ADDRESS'], '400 rouser road airport']]"
3276,400 S EL CAMINO REAL #1200,400 S EL CAMINO REAL,,#1200,,"[[0, 5, 5, ['ADDRESS'], '400 s el camino real'], [5, 6, 1, ['SUITE'], '#1200']]"
3277,400 S W 25TH AVE,,,400 S,,"[[0, 2, 2, ['SUITE'], '400 s'], [2, 3, 1, ['_DIR_', 'SUITE'], 'w']]"
3278,400 SELBY AVE #D,400 SELBY AVE,,,,"[[0, 3, 3, ['ADDRESS'], '400 selby ave']]"
3279,400 SOUTH STREET PO BOX 30,400 SOUTH STREET,PO BOX 30,,,"[[0, 3, 3, ['ADDRESS'], '400 south street'], [3, 6, 3, ['POBOX'], 'po box 30']]"
3280,400 STUART ROAD #2,400 STUART ROAD,,#2,,"[[0, 3, 3, ['ADDRESS'], '400 stuart road'], [3, 4, 1, ['SUITE'], '#2']]"
3281,400 VICTORY DRIVE P O BOX 216,400 VICTORY DRIVE,P O BOX 216,,,"[[0, 3, 3, ['ADDRESS'], '400 victory drive'], [3, 7, 4, ['POBOX'], 'p o box 216']]"
3282,400 VIKING DR PO BOX 379,400 VIKING DR,PO BOX 379,,,"[[0, 3, 3, ['ADDRESS'], '400 viking dr'], [3, 6, 3, ['POBOX'], 'po box 379']]"
3283,400 W VENTURA BLVD #100,400 W VENTURA BLVD,,#100,,"[[0, 4, 4, ['ADDRESS'], '400 w ventura blvd'], [4, 5, 1, ['SUITE'], '#100']]"
3284,400 WILLOW BROOK OFC PARK #400,400 WILLOW BROOK,,#400,,"[[0, 3, 3, ['ADDRESS'], '400 willow brook'], [5, 6, 1, ['SUITE'], '#400']]"
3285,4000 HOLLYWOOD BLVD #610N,4000 HOLLYWOOD BLVD,,,,"[[0, 3, 3, ['ADDRESS'], '4000 hollywood blvd']]"
3286,4000 HOLLYWOOD BOULEVARD SUITE 485 SOUTH,4000 HOLLYWOOD BOULEVARD,,SUITE 485 SOUTH,,"[[0, 3, 3, ['ADDRESS'], '4000 hollywood boulevard'], [3, 6, 3, ['SUITE'], 'suite 485 south']]"
3287,4000 MIDDLEFIELD RD I-2,4000 MIDDLEFIELD RD,,,,"[[0, 3, 3, ['ADDRESS'], '4000 middlefield rd']]"
3288,4000 THE CANYONS RESORT DRIVE,4000 THE CANYONS,,,,"[[0, 3, 3, ['ADDRESS'], '4000 the canyons']]"
3289,4000 TWO HOUSTON CENTER 909 FANNIN STREET,TWO HOUSTON CENTER 909,,4000,,"[[0, 1, 1, ['SUITE'], '4000'], [1, 5, 4, ['ADDRESS'], 'two houston center 909']]"
3290,4001 CENTRAL POINTE PARKWAY BUILDING 200,4001 CENTRAL POINTE PARKWAY,,200,,"[[0, 4, 4, ['ADDRESS'], '4001 central pointe parkway'], [5, 6, 1, ['SUITE'], '200']]"
3291,4001 DALE STREET #213,4001 DALE STREET,,#213,,"[[0, 3, 3, ['ADDRESS'], '4001 dale street'], [3, 4, 1, ['SUITE'], '#213']]"
3292,4001 NORTH MAIN ST PO BOX 180,4001 NORTH MAIN ST,PO BOX 180,,,"[[0, 4, 4, ['ADDRESS'], '4001 north main st'], [4, 7, 3, ['POBOX'], 'po box 180']]"
3293,401 AMERICAN SEATING CENTER,401 AMERICAN SEATING CENTER,,,,"[[0, 4, 4, ['ADDRESS'], '401 american seating center']]"
3294,401 COLUMBUS AVE LOWER LEVEL,401 COLUMBUS AVE,,,,"[[0, 3, 3, ['ADDRESS'], '401 columbus ave']]"
3295,401 E 4TH ST BLDG 8 5TH FL,401 E 4TH ST,,5TH FL,,"[[0, 4, 4, ['ADDRESS'], '401 e 4th st'], [6, 8, 2, ['SUITE'], '5th fl']]"
3296,401 E COURT STREET,401 E COURT STREET,,,,"[[0, 4, 4, ['ADDRESS'], '401 e court street']]"
3297,401 LIBERTY AVENUE THREE GATEWAY CENTER SUITE 24,401 LIBERTY AVENUE THREE,,SUITE 24,,"[[0, 4, 4, ['ADDRESS'], '401 liberty avenue three'], [6, 8, 2, ['SUITE'], 'suite 24']]"
3298,401 MILE OF CARS WAY SUITE 200,401 MILE OF CARS,,SUITE 200,,"[[0, 4, 4, ['ADDRESS'], '401 mile of cars'], [5, 7, 2, ['SUITE'], 'suite 200']]"
3299,401 NORTH MAIN BOX 306,401 NORTH MAIN,BOX 306,,,"[[0, 3, 3, ['ADDRESS'], '401 north main'], [3, 5, 2, ['POBOX'], 'box 306']]"
3300,401 PARK AVENUE SOUTH 12TH FLOOR,401 PARK AVENUE,,12TH FLOOR,,"[[0, 3, 3, ['ADDRESS'], '401 park avenue'], [3, 4, 1, ['_DIR_'], 'south'], [4, 6, 2, ['SUITE'], '12th floor']]"
3301,401 RT 73 N SUITE 201 PO BOX 988,401 RT 73,PO BOX 988,SUITE 201,,"[[0, 3, 3, ['ADDRESS'], '401 rt 73'], [3, 4, 1, ['_DIR_', 'SUITE'], 'n'], [4, 6, 2, ['SUITE'], 'suite 201'], [6, 9, 3, ['POBOX'], 'po box 988']]"
3302,401 SOUTH SANTA FE,,,401 SOUTH,,"[[0, 2, 2, ['SUITE'], '401 south']]"
3303,401 SUMMIT ST PO BOX 151,401 SUMMIT ST,PO BOX 151,,,"[[0, 3, 3, ['ADDRESS'], '401 summit st'], [3, 6, 3, ['POBOX'], 'po box 151']]"
3304,401 WATER TOWER CIRCEL SUITE 101,401 WATER TOWER,,SUITE 101,,"[[0, 3, 3, ['ADDRESS'], '401 water tower'], [4, 6, 2, ['SUITE'], 'suite 101']]"
3305,401 WEST A STREET SUITE 1800,,,SUITE 1800,,"[[1, 2, 1, ['_DIR_'], 'west'], [4, 6, 2, ['SUITE'], 'suite 1800']]"
3306,401 WEST A STREET SUITE 2600,,,SUITE 2600,,"[[1, 2, 1, ['_DIR_'], 'west'], [4, 6, 2, ['SUITE'], 'suite 2600']]"
3307,4015 BELTLINE ROAD SUITE #200,4015 BELTLINE ROAD,,#200,,"[[0, 3, 3, ['ADDRESS'], '4015 beltline road'], [4, 5, 1, ['SUITE'], '#200']]"
3308,402 G STREET,402 G STREET,,,,"[[0, 3, 3, ['ADDRESS'], '402 g street']]"
3309,402 N 8TH STREET PO BOX 248,402 N 8TH STREET,PO BOX 248,,,"[[0, 4, 4, ['ADDRESS'], '402 n 8th street'], [4, 7, 3, ['POBOX'], 'po box 248']]"
3310,4021 AMBASSADOR CAGGERY PARKWA BLDG A STE 245,4021 AMBASSADOR CAGGERY,,BLDG A STE 245,,"[[0, 3, 3, ['ADDRESS'], '4021 ambassador caggery'], [4, 8, 4, ['SUITE'], 'bldg a ste 245']]"
3311,403 AIRPORT ROAD C/O PLASMAN CORP LLC,403 AIRPORT ROAD,,,C/O PLASMAN CORP,"[[0, 3, 3, ['ADDRESS'], '403 airport road'], [3, 6, 3, ['ATTN'], 'c/o plasman corp']]"
3312,404 BROADWAY STREET PO BOX 482,404 BROADWAY STREET,PO BOX 482,,,"[[0, 3, 3, ['ADDRESS'], '404 broadway street'], [3, 6, 3, ['POBOX'], 'po box 482']]"
3313,404 W ST GERMAIN,404 W ST,,,,"[[0, 3, 3, ['ADDRESS'], '404 w st']]"
3314,4040 N CENTRAL #200,4040 N CENTRAL,,#200,,"[[0, 3, 3, ['ADDRESS'], '4040 n central'], [3, 4, 1, ['SUITE'], '#200']]"
3315,4045 EAST BELL ROAD #143,4045 EAST BELL ROAD,,#143,,"[[0, 4, 4, ['ADDRESS'], '4045 east bell road'], [4, 5, 1, ['SUITE'], '#143']]"
3316,405 EL CAMINO REAL BOX #606,405 EL CAMINO REAL,,#606,,"[[0, 4, 4, ['ADDRESS'], '405 el camino real'], [5, 6, 1, ['SUITE'], '#606']]"
3317,405 LAKE HOWELL ROAD #1031,405 LAKE HOWELL ROAD,,#1031,,"[[0, 4, 4, ['ADDRESS'], '405 lake howell road'], [4, 5, 1, ['SUITE'], '#1031']]"
3318,405 WALTHAM STREET #340,405 WALTHAM STREET,,#340,,"[[0, 3, 3, ['ADDRESS'], '405 waltham street'], [3, 4, 1, ['SUITE'], '#340']]"
3319,405 WASHINGTON BOULEVARD #203,405 WASHINGTON BOULEVARD,,#203,,"[[0, 3, 3, ['ADDRESS'], '405 washington boulevard'], [3, 4, 1, ['SUITE'], '#203']]"
3320,4050 KING DRIVE PO BOX 95,4050 KING DRIVE,PO BOX 95,,,"[[0, 3, 3, ['ADDRESS'], '4050 king drive'], [3, 6, 3, ['POBOX'], 'po box 95']]"
3321,406 BLACKWELL STREET CROWE BU SUITE 240,406 BLACKWELL STREET CROWE,,SUITE 240,,"[[0, 4, 4, ['ADDRESS'], '406 blackwell street crowe'], [5, 7, 2, ['SUITE'], 'suite 240']]"
3322,406 MAIN STREET #326,406 MAIN STREET,,#326,,"[[0, 3, 3, ['ADDRESS'], '406 main street'], [3, 4, 1, ['SUITE'], '#326']]"
3323,406 W 34TH #410,406 W 34TH,,#410,,"[[0, 3, 3, ['ADDRESS'], '406 w 34th'], [3, 4, 1, ['SUITE'], '#410']]"
3324,4068 MT ROYAL BLVD SUITE 225 GAMMA BLDG,4068 MT ROYAL BLVD,,SUITE 225,,"[[0, 4, 4, ['ADDRESS'], '4068 mt royal blvd'], [4, 6, 2, ['SUITE'], 'suite 225']]"
3325,4069 CHAIN BRIDGE ROAD TOP FLOOR,4069 CHAIN BRIDGE ROAD,,,,"[[0, 4, 4, ['ADDRESS'], '4069 chain bridge road']]"
3326,407 AVENUE K SOUTHEAST,407 AVENUE K,,,,"[[0, 3, 3, ['ADDRESS'], '407 avenue k']]"
3327,40701 WOODWARD STE 50 P O BOX 2028,40701 WOODWARD,P O BOX 2028,STE 50,,"[[0, 2, 2, ['ADDRESS'], '40701 woodward'], [2, 4, 2, ['SUITE'], 'ste 50'], [4, 8, 4, ['POBOX'], 'p o box 2028']]"
3328,40722 STATE ROUTE 154 PO BOX 429,40722 STATE ROUTE 154,PO BOX 429,,,"[[0, 4, 4, ['ADDRESS'], '40722 state route 154'], [4, 7, 3, ['POBOX'], 'po box 429']]"
3329,4075 FOX VALLEY CENTER DRIVE UNIT 1,4075 FOX VALLEY CENTER,,UNIT 1,,"[[0, 4, 4, ['ADDRESS'], '4075 fox valley center'], [5, 7, 2, ['SUITE'], 'unit 1']]"
3330,408 C STREET NE,408 C STREET NE,,,,"[[0, 4, 4, ['ADDRESS'], '408 c street ne']]"
3331,408 SAINT PETER STREET SUITE 300,,,SUITE 300,,"[[4, 6, 2, ['SUITE'], 'suite 300']]"
3332,408 ST PETER STREET SUITE 429,,,SUITE 429,,"[[4, 6, 2, ['SUITE'], 'suite 429']]"
3333,4080 LOGISTICS PARKWAY PO BOX 6005,4080 LOGISTICS PARKWAY,PO BOX 6005,,,"[[0, 3, 3, ['ADDRESS'], '4080 logistics parkway'], [3, 6, 3, ['POBOX'], 'po box 6005']]"
3334,4080 MCGINNIS FERRY RD #204,4080 MCGINNIS FERRY RD,,#204,,"[[0, 4, 4, ['ADDRESS'], '4080 mcginnis ferry rd'], [4, 5, 1, ['SUITE'], '#204']]"
3335,4080 MCGINNIS FERRY RD SUITE SUITE 803,4080 MCGINNIS FERRY RD,,SUITE 803,,"[[0, 4, 4, ['ADDRESS'], '4080 mcginnis ferry rd'], [5, 7, 2, ['SUITE'], 'suite 803']]"
3336,4080 MCGINNIS FERRY ROAD BUILDING 500,4080 MCGINNIS FERRY ROAD,,500,,"[[0, 4, 4, ['ADDRESS'], '4080 mcginnis ferry road'], [5, 6, 1, ['SUITE'], '500']]"
3337,4083 W AVE L #346,4083 W AVE,,#346,,"[[0, 3, 3, ['ADDRESS'], '4083 w ave'], [4, 5, 1, ['SUITE'], '#346']]"
3338,409 12TH STREET SW SUITE 700,409 12TH STREET SW,,SUITE 700,,"[[0, 4, 4, ['ADDRESS'], '409 12th street sw'], [4, 6, 2, ['SUITE'], 'suite 700']]"
3339,409 LOCUST STREET PO BOX 314,409 LOCUST STREET,PO BOX 314,,,"[[0, 3, 3, ['ADDRESS'], '409 locust street'], [3, 6, 3, ['POBOX'], 'po box 314']]"
3340,409 PLYMOUTH RD #201,409 PLYMOUTH RD,,#201,,"[[0, 3, 3, ['ADDRESS'], '409 plymouth rd'], [3, 4, 1, ['SUITE'], '#201']]"
3341,4092 MEMORIAL PARKWAY SW SUITE,4092 MEMORIAL PARKWAY SW,,,,"[[0, 4, 4, ['ADDRESS'], '4092 memorial parkway sw']]"
3342,4095 E LA PALMA STE K,,,STE K,,"[[1, 2, 1, ['_DIR_', 'SUITE'], 'e'], [4, 6, 2, ['SUITE'], 'ste k']]"
3343,40950 WOODWARD AVE SUITE #200,40950 WOODWARD AVE,,#200,,"[[0, 3, 3, ['ADDRESS'], '40950 woodward ave'], [4, 5, 1, ['SUITE'], '#200']]"
3344,40W201 WASCO ROAD SUITE D,,,SUITE D,,"[[3, 5, 2, ['SUITE'], 'suite d']]"
3345,40W222 LAFOX ROAD SUITE O2,,,SUITE O2,,"[[3, 5, 2, ['SUITE'], 'suite o2']]"
3346,41 E ALL SAINTS STREET #110,41 E ALL SAINTS STREET,,#110,,"[[0, 5, 5, ['ADDRESS'], '41 e all saints street'], [5, 6, 1, ['SUITE'], '#110']]"
3347,41 PERIMETER CENTER EAST STE 5,41 PERIMETER CENTER EAST,,STE 5,,"[[0, 4, 4, ['ADDRESS'], '41 perimeter center east'], [4, 6, 2, ['SUITE'], 'ste 5']]"
3348,41 PERIMETER CENTER EAST SUITE 615,41 PERIMETER CENTER EAST,,SUITE 615,,"[[0, 4, 4, ['ADDRESS'], '41 perimeter center east'], [4, 6, 2, ['SUITE'], 'suite 615']]"
3349,410 N MICHIGAN AVE #850,410 N MICHIGAN AVE,,#850,,"[[0, 4, 4, ['ADDRESS'], '410 n michigan ave'], [4, 5, 1, ['SUITE'], '#850']]"
3350,410 SEVENTEENTH STREET SUITE,410 SEVENTEENTH STREET,,,,"[[0, 3, 3, ['ADDRESS'], '410 seventeenth street']]"
3351,410 UNIVERSITY SERVICES CENTER,410 UNIVERSITY SERVICES CENTER,,,,"[[0, 4, 4, ['ADDRESS'], '410 university services center']]"
3352,4100 DUVAL RD #101,4100 DUVAL RD,,#101,,"[[0, 3, 3, ['ADDRESS'], '4100 duval rd'], [3, 4, 1, ['SUITE'], '#101']]"
3353,4100 DUVAL RD BLD 1 STE 200,4100 DUVAL RD,,STE 200,,"[[0, 3, 3, ['ADDRESS'], '4100 duval rd'], [5, 7, 2, ['SUITE'], 'ste 200']]"
3354,4100 E 3RD AVE #205,4100 E 3RD AVE,,#205,,"[[0, 4, 4, ['ADDRESS'], '4100 e 3rd ave'], [4, 5, 1, ['SUITE'], '#205']]"
3355,4100 HOLIDAY ST NW P O BOX 35334,4100 HOLIDAY ST NW,P O BOX 35334,,,"[[0, 4, 4, ['ADDRESS'], '4100 holiday st nw'], [4, 8, 4, ['POBOX'], 'p o box 35334']]"
3356,4100 HOLIDAY STREET NW SUITE,4100 HOLIDAY STREET NW,,,,"[[0, 4, 4, ['ADDRESS'], '4100 holiday street nw']]"
3357,4100 N SAM HOUSTON PKWY W STE 200-B,4100 N SAM HOUSTON PKWY,,STE 200-B,,"[[0, 5, 5, ['ADDRESS'], '4100 n sam houston pkwy'], [5, 6, 1, ['_DIR_', 'SUITE'], 'w'], [6, 8, 2, ['SUITE'], 'ste 200-b']]"
3358,4100 NORTH US 33 PO BOX 94,4100 NORTH US 33,PO BOX 94,,,"[[0, 4, 4, ['ADDRESS'], '4100 north us 33'], [4, 7, 3, ['POBOX'], 'po box 94']]"
3359,4100 PIER NORTH BOULEVARD SUITE A,4100 PIER NORTH,,SUITE A,,"[[0, 3, 3, ['ADDRESS'], '4100 pier north'], [4, 6, 2, ['SUITE'], 'suite a']]"
3360,4100 WELL-SPRING DRIVE,,,4100,,"[[0, 1, 1, ['SUITE'], '4100']]"
3361,4101 LAKE BOONE TR STE 514,4101 LAKE BOONE,,STE 514,,"[[0, 3, 3, ['ADDRESS'], '4101 lake boone'], [4, 6, 2, ['SUITE'], 'ste 514']]"
3362,4107 S W 96TH DRIVE,,,4107 S,,"[[0, 2, 2, ['SUITE'], '4107 s'], [2, 3, 1, ['_DIR_', 'SUITE'], 'w']]"
3363,411 1ST AVENUE S SUITE 500,411 1ST AVENUE S,,SUITE 500,,"[[0, 4, 4, ['ADDRESS'], '411 1st avenue s'], [4, 6, 2, ['SUITE'], 'suite 500']]"
3364,411 1ST AVENUE SOUTH SUITE #600,411 1ST AVENUE SOUTH,,#600,,"[[0, 4, 4, ['ADDRESS'], '411 1st avenue south'], [5, 6, 1, ['SUITE'], '#600']]"
3365,411 1ST AVENUE SOUTH SUITE 700,411 1ST AVENUE SOUTH,,SUITE 700,,"[[0, 4, 4, ['ADDRESS'], '411 1st avenue south'], [4, 6, 2, ['SUITE'], 'suite 700']]"
3366,411 N SAM HOUSTON PARKWAY E SUITE 400,411 N SAM HOUSTON PARKWAY,,SUITE 400,,"[[0, 5, 5, ['ADDRESS'], '411 n sam houston parkway'], [5, 6, 1, ['_DIR_', 'SUITE'], 'e'], [6, 8, 2, ['SUITE'], 'suite 400']]"
3367,411 N SECTION STREET P O BOX 2020,411 N SECTION STREET,P O BOX 2020,,,"[[0, 4, 4, ['ADDRESS'], '411 n section street'], [4, 8, 4, ['POBOX'], 'p o box 2020']]"
3368,4110 DEMOREST RD PO BOX 243,4110 DEMOREST RD,PO BOX 243,,,"[[0, 3, 3, ['ADDRESS'], '4110 demorest rd'], [3, 6, 3, ['POBOX'], 'po box 243']]"
3369,411BUTTERNUT DR,XX,XX,XX,XX,[]
3370,412 JEFFERSON PKWY #100,412 JEFFERSON PKWY,,#100,,"[[0, 3, 3, ['ADDRESS'], '412 jefferson pkwy'], [3, 4, 1, ['SUITE'], '#100']]"
3371,412 W 9TH STREET ST #1,412 W 9TH STREET ST,,#1,,"[[0, 5, 5, ['ADDRESS'], '412 w 9th street st'], [5, 6, 1, ['SUITE'], '#1']]"
3372,4129 COMMERCOIAL CENTER DR #40,4129 COMMERCOIAL CENTER DR,,#40,,"[[0, 4, 4, ['ADDRESS'], '4129 commercoial center dr'], [4, 5, 1, ['SUITE'], '#40']]"
3373,413 E TERRA COTTA AVENUE ROUTE 176,413 E TERRA COTTA AVENUE,,176,,"[[0, 5, 5, ['ADDRESS'], '413 e terra cotta avenue'], [6, 7, 1, ['SUITE'], '176']]"
3374,4130 LA JOLLA VILLAGE DR #205,4130 LA JOLLA VILLAGE,,#205,,"[[0, 4, 4, ['ADDRESS'], '4130 la jolla village'], [5, 6, 1, ['SUITE'], '#205']]"
3375,4131 PARKLAKE AVE #400,4131 PARKLAKE AVE,,#400,,"[[0, 3, 3, ['ADDRESS'], '4131 parklake ave'], [3, 4, 1, ['SUITE'], '#400']]"
3376,4131 UNIVERSITY BLVD SOUTH BUILDING 6,4131 UNIVERSITY BLVD SOUTH,,6,,"[[0, 4, 4, ['ADDRESS'], '4131 university blvd south'], [5, 6, 1, ['SUITE'], '6']]"
3377,414 EAST SAN BERNARDINO ROAD,,,414 EAST,,"[[0, 2, 2, ['SUITE'], '414 east']]"
3378,414 WALNUT ST FLR 11,414 WALNUT ST,,11,,"[[0, 3, 3, ['ADDRESS'], '414 walnut st'], [4, 5, 1, ['SUITE'], '11']]"
